"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","125","Get User Profile","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:35 UTC 2025","passed","Tue Sep 30 19:43:35 UTC 2025","Profile > Get user profile","User","",""
"","122","My Slot Position For a Cycle - success","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:47 UTC 2025","failed","Tue Sep 30 19:43:47 UTC 2025","Cycles > Slots Management > My Slot Position","User","",""
"","205","Login User - Success (Group Admin)","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:30 UTC 2025","passed","Tue Sep 30 19:43:30 UTC 2025","Onboarding > Login","User","",""
"","125","Get cycle members - Success","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:45 UTC 2025","passed","Tue Sep 30 19:43:45 UTC 2025","Cycles > Get Cycle Members","User","",""
"","122","My Slot Position For a Cycle - Invalid Token","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:48 UTC 2025","failed","Tue Sep 30 19:43:48 UTC 2025","Cycles > Slots Management > My Slot Position","User","",""
"","123","All Group Invites – Unauthorized","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:38 UTC 2025","failed","Tue Sep 30 19:43:38 UTC 2025","Groups > All group invites","User","",""
"","122","View cycle member - invalid member id","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:46 UTC 2025","passed","Tue Sep 30 19:43:46 UTC 2025","Cycles > View Cycle Member","User","",""
"","119","Confirm Contribution","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:50 UTC 2025","passed","Tue Sep 30 19:43:50 UTC 2025","Contributions > Confirm Contribution","User","",""
"","121","User Slot Position For a Cycle - No Auth","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:48 UTC 2025","passed","Tue Sep 30 19:43:48 UTC 2025","Cycles > Slots Management > User Slot Position","User","",""
"","120","My Slot Position For a Cycle - No Auth","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:48 UTC 2025","passed","Tue Sep 30 19:43:48 UTC 2025","Cycles > Slots Management > My Slot Position","User","",""
"","122","Create Group – Invalid Params (invalid email format in members)","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:40 UTC 2025","passed","Tue Sep 30 19:43:40 UTC 2025","Groups > Create group","User","",""
"","115","Read notification","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:51 UTC 2025","passed","Tue Sep 30 19:43:51 UTC 2025","Notifications > Read notification","User","",""
"","115","All Group Members – Unauthorized","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:38 UTC 2025","passed","Tue Sep 30 19:43:38 UTC 2025","Groups > All group members","User","",""
"","120","User Slot Position For a Cycle - Invalid Token","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:48 UTC 2025","failed","Tue Sep 30 19:43:48 UTC 2025","Cycles > Slots Management > User Slot Position","User","",""
"","153","Forgot Password - Success","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:31 UTC 2025","failed","Tue Sep 30 19:43:31 UTC 2025","Onboarding > Forgot Password > Forgot Password","User","",""
"","871","Register User - Success","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:28 UTC 2025","passed","Tue Sep 30 19:43:29 UTC 2025","Onboarding > Register User","User","",""
"","124","Forgot Password - Invalid token","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:32 UTC 2025","failed","Tue Sep 30 19:43:32 UTC 2025","Onboarding > Forgot Password > Forgot Password","User","",""
"","195","Add event to calendar","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:50 UTC 2025","passed","Tue Sep 30 19:43:51 UTC 2025","Calendar > Add event to calender","User","",""
"","121","Get all filled cycle slots - Invalid Token","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:47 UTC 2025","failed","Tue Sep 30 19:43:47 UTC 2025","Cycles > Slots Management > Fiiled Slots","User","",""
"","115","End Cycle - Success","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:42 UTC 2025","passed","Tue Sep 30 19:43:43 UTC 2025","Cycles > End Cycle","User","",""
"","132","Assign Slot Positions","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:48 UTC 2025","passed","Tue Sep 30 19:43:49 UTC 2025","Cycles > Slots Management > Assign Slot Position","User","",""
"","119","Get Slot Position Contributions","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:50 UTC 2025","passed","Tue Sep 30 19:43:50 UTC 2025","Contributions > Get Slot Position Contributions","User","",""
"","125","Login User - empty requirement field","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:31 UTC 2025","failed","Tue Sep 30 19:43:31 UTC 2025","Onboarding > Login","User","",""
"","122","Invite Member – invalid token","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:36 UTC 2025","failed","Tue Sep 30 19:43:37 UTC 2025","Groups > Invite member","User","",""
"","121","Start cycle - Invalid min slot","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:40 UTC 2025","passed","Tue Sep 30 19:43:40 UTC 2025","Cycles > Start cycle","User","",""
"","125","Login User - invalid email","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:31 UTC 2025","failed","Tue Sep 30 19:43:31 UTC 2025","Onboarding > Login","User","",""
"","131","All Group Invites – Forbidden","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:38 UTC 2025","passed","Tue Sep 30 19:43:38 UTC 2025","Groups > All group invites","User","",""
"","120","Get all filled cycle slots - invalid id","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:47 UTC 2025","passed","Tue Sep 30 19:43:47 UTC 2025","Cycles > Slots Management > Fiiled Slots","User","",""
"","147","Forgot Password - no authentication","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:32 UTC 2025","failed","Tue Sep 30 19:43:32 UTC 2025","Onboarding > Forgot Password > Forgot Password","User","",""
"","120","Start cycle -empty duration field","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:41 UTC 2025","passed","Tue Sep 30 19:43:41 UTC 2025","Cycles > Start cycle","User","",""
"","135","All Group Invites – Missing Params","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:38 UTC 2025","passed","Tue Sep 30 19:43:38 UTC 2025","Groups > All group invites","User","",""
"","122","All Group Invites – Invalid Group ID","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:38 UTC 2025","failed","Tue Sep 30 19:43:38 UTC 2025","Groups > All group invites","User","",""
"","123","View Group Members – Forbidden","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:39 UTC 2025","passed","Tue Sep 30 19:43:39 UTC 2025","Groups > View group members","User","",""
"","131","My Groups - Success","SLOT FINANCE - Users - QA","Tue Sep 30 19:43:35 UTC 2025","passed","Tue Sep 30 19:43:36 UTC 2025","Groups > My Groups","User","",""
